In [5]: run section-4-7-venus-smallsat-performance-analysis-prd.py
RUN #: 142, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 186, EFPA: -5.15, SIGMA: 0.80, APO : 1843.80
RUN #: 143, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 82, EFPA: -5.13, SIGMA: 0.38, APO : 1837.43
RUN #: 144, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 20, EFPA: -5.20, SIGMA: -1.01, APO : 1848.40
RUN #: 145, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 128, EFPA: -5.22, SIGMA: 0.42, APO : 2237.60
RUN #: 146, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 120, EFPA: -5.23, SIGMA: 0.19, APO : 2651.85
RUN #: 147, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 51, EFPA: -5.20, SIGMA: -1.53, APO : 1973.33
RUN #: 148, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 10, EFPA: -5.20, SIGMA: 0.05, APO : 2040.37
RUN #: 149, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 98, EFPA: -5.25, SIGMA: 1.26, APO : 2250.73
RUN #: 150, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 135, EFPA: -5.22, SIGMA: 0.08, APO : 2421.30
RUN #: 151, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 51, EFPA: -5.21, SIGMA: -0.28, APO : 2419.36
RUN #: 152, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 43, EFPA: -5.19, SIGMA: 1.21, APO : 1879.51
RUN #: 153, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 108, EFPA: -5.22, SIGMA: 1.00, APO : 2802.03
RUN #: 154, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 190, EFPA: -5.17, SIGMA: 0.28, APO : 1887.40
RUN #: 155, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 4, EFPA: -5.18, SIGMA: 1.34, APO : 2028.25
RUN #: 156, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 148, EFPA: -5.22, SIGMA: -0.57, APO : 2423.82
RUN #: 157, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 6, EFPA: -5.17, SIGMA: 1.68, APO : 2112.20
RUN #: 158, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 193, EFPA: -5.16, SIGMA: -0.38, APO : 1946.36
RUN #: 159, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 2, EFPA: -5.16, SIGMA: 0.44, APO : 1951.05
RUN #: 160, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 13, EFPA: -5.15, SIGMA: 0.94, APO : 1837.60
RUN #: 161, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 53, EFPA: -5.17, SIGMA: 2.94, APO : 2161.14
RUN #: 162, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 101, EFPA: -5.21, SIGMA: 0.51, APO : 1838.88
RUN #: 163, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 13, EFPA: -5.19, SIGMA: -1.37, APO : 1729.36
RUN #: 164, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 115, EFPA: -5.26, SIGMA: -0.40, APO : 2150.53
RUN #: 165, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 186, EFPA: -5.26, SIGMA: -1.07, APO : 2033.88
RUN #: 166, PROF: ../../../atmdata/Venus/LAT20N.txt, SAMPLE #: 13, EFPA: -5.23, SIGMA: 0.17, APO : 2887.52
